Date,OPEN,HIGH,LOW,CLOSE
4/18/2018,1599,1602.7,1562,1573.5
4/19/2018,1605,1629,1561,1571.4
4/20/2018,1567.8,1585,1552.6,1561.7
4/23/2018,1560,1581.8,1552,1565.3
4/24/2018,1570,1582,1557.5,1562
4/25/2018,1560.9,1577.7,1549,1567.7
4/26/2018,1573.8,1573.8,1536.3,1545.4
4/27/2018,1551.9,1564.5,1546.6,1559.6
4/30/2018,1564.9,1599.9,1563,1587.2
5/2/2018,1584.5,1595.3,1548.7,1557.2
5/3/2018,1557,1563.2,1532.1,1537.8
5/4/2018,1542,1548.7,1523.6,1527.8
5/7/2018,1530,1542,1515.8,1523.5
5/8/2018,1526.2,1531,1515.3,1518.7
5/9/2018,1520.9,1525.8,1500.3,1509.7
5/10/2018,1511,1515.2,1483.6,1493.9
5/11/2018,1499,1499,1461.4,1466.6
5/14/2018,1465.1,1478.7,1439.3,1451.2
5/15/2018,1447.7,1452.5,1405,1411.7
5/16/2018,1407.9,1424.8,1398.5,1410.8
5/17/2018,1401,1420,1397,1400.5
5/18/2018,1400.5,1405.5,1365.3,1374.4
5/21/2018,1379,1379.9,1322.6,1344.1
5/22/2018,1342.2,1343.9,1313.1,1325.3
5/23/2018,1320.3,1329,1308.1,1313.8
5/24/2018,1320,1350,1290,1332.8
5/25/2018,1333.5,1336,1308.3,1322.9
5/28/2018,1324.9,1335.7,1315,1322.5
5/29/2018,1321.1,1337.7,1301.2,1310
5/30/2018,1300,1317.1,1297.3,1309.4
5/31/2018,1315,1364,1302.6,1354.6
6/1/2018,1361,1371,1316.6,1326.7
6/4/2018,1343,1353.5,1303.3,1308.1
6/5/2018,1305.3,1306.7,1265,1285.1
6/6/2018,1285,1319.3,1270.5,1316
6/7/2018,1326.8,1337.8,1311.6,1316.5
6/8/2018,1314,1325.6,1305.5,1315.1
6/11/2018,1315.9,1338.8,1311.3,1320.2
6/12/2018,1321,1329.4,1306.6,1315.7
6/13/2018,1317.3,1349.4,1311.6,1331
6/14/2018,1331,1333.3,1304.4,1307.2
6/15/2018,1309.7,1314.9,1295,1302.1
